commit_id,lines_added,lines_removed,lines_modified,files_changed,commit_role,project
712504b2d,0,0,1,1,BFC,accumulo
995080c44,193,0,13,5,BIC,accumulo
a323f0362,0,0,4,2,BFC,accumulo
f122beb12,14,5,6,1,BFC,accumulo
7f20e6aef,15,0,18,1,BIC,accumulo
d4d455f1f,11,3,0,1,BFC,accumulo
f42ead0d3,42,0,4,2,BIC,accumulo
01d3af40b,268,31,5,2,BIC,accumulo
64713554b,53,0,5,1,BFC,accumulo
3af75fc68,7090,501,2831,124,BIC,accumulo
3e5524c3c,613,4,162,23,BIC,accumulo
74507ae3a,8,3,3,1,BIC,accumulo
3ef67cbee,0,0,1,1,BFC,accumulo
f2de427f7,11,13,57,22,BIC,accumulo
c9c0d45b5,13,0,29,3,BIC,accumulo
859222146,0,11,3,1,BIC,accumulo
261cf3618,0,11,3,1,BIC,accumulo
d7ba6ca6f,1,1,7,2,BIC,accumulo
891584fb7,0,0,1,1,BFC,accumulo
085c5b793,2,0,5,1,BIC,accumulo
94c2a31fc,8,0,3,1,BIC,accumulo
9a4dd3000,0,11,0,1,BFC,accumulo
a943f323b,66,98,272,35,BIC,accumulo
e77bdd7de,0,0,2,1,BFC,accumulo
f446b9007,55,0,43,2,BIC,accumulo
7f8f66d8a,124,12,121,12,BIC,accumulo
c8bd1ddd0,130,12,47,39,BIC,accumulo
45f18c174,3941,109,748,71,BIC,accumulo
a8d1acd4b,0,1,1,1,BFC,accumulo
8d7f04cd9,189,1,58,1,BIC,accumulo
659a33e8e,7,11,21,1,BIC,accumulo
81a77e1d6,4,0,2,1,BFC,accumulo
9cee40724,1,1,0,1,BIC,accumulo
5eceb10e2,26,0,3,2,BIC,accumulo
e4dbe897c,8,0,8,2,BFC,accumulo
5cb976b3c,0,0,3,1,BIC,accumulo
d2f82cd92,92,19,48,9,BIC,accumulo
fa978b0c3,0,0,1,1,BFC,accumulo
ca083a5b8,7,4,16,10,BIC,accumulo
e43561112,39,0,7,1,BFC,accumulo
db2dda1b7,1309,1631,258,48,BIC,accumulo
2c9833171,6801,23,92,57,BIC,accumulo
fa22fa431,7,0,6,1,BFC,accumulo
be646246b,10,0,1,1,BIC,accumulo
699b8bf06,1,0,0,1,BFC,accumulo
b0e1a81cf,18,7,13,1,BIC,accumulo
a541e766e,0,0,1,1,BFC,accumulo
dad7c7c93,352,4,15,3,BIC,accumulo
a2c2d38aa,0,0,2,1,BFC,accumulo
e5086f908,2,0,1,1,BFC,accumulo
33890b00e,4,0,0,1,BIC,accumulo
fe77101d0,11,0,1,1,BIC,accumulo
4911f855d,10,1,7,3,BFC,accumulo
ef7c4f083,0,4,2,1,BIC,accumulo
72156b82e,26,6,2,3,BIC,accumulo
e33c1f495,2,0,5,3,BFC,accumulo
0607c8cf0,10,0,2,2,BIC,accumulo
22a6209b8,28,0,11,2,BIC,accumulo
c5153331c,4,0,0,1,BFC,accumulo
2faafcce4,960,58,164,42,BIC,accumulo
5bd68ef9b,44,59,71,36,BIC,accumulo
7038755be,960,58,164,42,BIC,accumulo
a8ef75ee0,29,0,13,3,BFC,accumulo
d1aaecba9,3,0,0,1,BIC,accumulo
47a091ade,29,5,5,6,BFC,accumulo
2f788f482,1190,90,810,20,BIC,accumulo
76ea14ed31,52,73,7,7,BFC,ambari
0cbc5fa385,8,27,19,6,BIC,ambari
786d4b6334,16,1,16,8,BFC,ambari
6b7a7a706d,3746,20,70,51,BIC,ambari
6b9a59753a,115,32,59,5,BFC,ambari
aba473e84a,83,93,23,6,BIC,ambari
3f2743b58b,807,523,111,35,BFC,ambari
fe0e2c563f,350,6,510,4,BIC,ambari
3b2e103b7e,17,17,0,2,BFC,ambari
ac0c66e986,26,0,38,3,BIC,ambari
bf5ca2f5e6,44,0,3,3,BFC,ambari
be25c9e771,36,0,8,3,BIC,ambari
e858b20bee,6,16,26,3,BFC,ambari
8a2cb5b35a,253,30,325,22,BIC,ambari
43ae930b01,66,0,31,3,BFC,ambari
c9f0dd0b82,6584,2562,493,62,BIC,ambari
44b2a5ccaa,45,1,21,2,BFC,ambari
9842b40d2b,2,2,8,1,BIC,ambari
6dd00195e6,77,43,21,3,BIC,ambari
8c237ec866,77,43,21,3,BIC,ambari
4b4bcbfb67,133,43,39,3,BIC,ambari
a00ffffc54,1,2,6,2,BFC,ambari
b5a2bb8ddb,484,0,9,17,BIC,ambari
d4ba96481c,0,4,0,1,BFC,ambari
b96c77a8f9,44,0,2,1,BIC,ambari
288573dcea,0,0,1,1,BFC,ambari
268f5cb652,81,47,39,4,BIC,ambari
c15a281e01,48,0,19,1,BFC,ambari
489a9c4b08,82,17,10,2,BIC,ambari
9752f7e772,0,3,0,1,BFC,ambari
7153112e79,170,6,21,9,BIC,ambari
9b87326e87,3,1,5,2,BFC,ambari
d43ea4d673,100,7,18,8,BIC,ambari
3a9ecc0924,0,5,0,2,BFC,ambari
6d06814f72,275,7,36,22,BIC,ambari
1e6e73f30e,0,0,1,1,BFC,ambari
d0f7a51537,0,0,1,1,BIC,ambari
f33a250c0e,310,9,37,8,BIC,ambari
4fa9ac5505,251,259,294,16,BFC,ambari
af6aba67bb,141,28,20,11,BFC,ambari
90c9904fcd,256,25,17,6,BIC,ambari
03463912a9,6,0,6,1,BFC,ambari
4a42b6d5b9,6,6,11,2,BIC,ambari
7be21c9148,3,0,1,1,BFC,ambari
b653ee0a59,151,19,16,5,BIC,ambari
c9936ad349,2,0,18,1,BFC,ambari
65ca08455f,142,0,0,1,BIC,ambari
c7b350b678,22,0,10,1,BFC,ambari
e02969e173,10,0,2,1,BIC,ambari
14738859cc,0,3,1,1,BFC,ambari
a8b8b4155b,14,0,8,1,BIC,ambari
18e58ffb37,0,0,3,1,BFC,ambari
2e14098c19,117,44,12,8,BIC,ambari
e10f6922eb,331,2,28,10,BIC,ambari
9db1834941,93,55,2,1,BFC,ambari
c3d738c6ae,151,59,99,5,BIC,ambari
38a6183b5c,12,0,1,1,BFC,ambari
fb9e407cab,88,0,0,1,BIC,ambari
8e5eeb4dea,20,0,4,2,BIC,ambari
97f3089bad,28,17,9,1,BFC,ambari
20056273ec,256,42,11,7,BIC,ambari
7abe374dd5,8,0,1,1,BFC,ambari
73ac59fc33,125,97,40,5,BFC,ambari
1621a53dc5,509,25,71,7,BFC,ambari
365c74b53c,54,14,43,4,BFC,ambari
af82db1188,0,0,4,2,BFC,ambari
18f68097768,6,0,1,1,BFC,hadoop
fb6b38d67d8,11,53,21,1,BIC,hadoop
6f6e170325d,15,44,13,4,BFC,hadoop
aeb364d8b57,74,41,16,6,BIC,hadoop
e7380b4f9c4,48,0,12,3,BIC,hadoop
0f0c6415af4,0,0,2,1,BFC,hadoop
28023b77595,3,0,1,1,BIC,hadoop
860d49aa6ae,361,6,541,1,BIC,hadoop
47782cbf4a6,0,5,1,1,BFC,hadoop
932ae036acb,598,16,38,6,BIC,hadoop
7e08c0f23f5,3,0,2,1,BIC,hadoop
e28edbffe15,18,5,27,6,BIC,hadoop
c9ace69cff4,0,1,2,1,BFC,hadoop
776eb119acc,7,4,15,4,BIC,hadoop
29eadf1b8f7,12,6,2,1,BFC,hadoop
5b361069345,10,0,8,1,BIC,hadoop
21d10ccc6e4,17,6,50,6,BIC,hadoop
48d62fad80a,3,0,0,1,BIC,hadoop
6e0a9f92fe0,0,3,2,1,BFC,hadoop
fc2ed4a1f9a,7,0,19,1,BIC,hadoop
cffee556e4d,0,0,1,1,BFC,hadoop
6d9820ab3d6,6,0,0,1,BFC,hadoop
ad95cb1f0d3,8,0,10,1,BIC,hadoop
3ebc992e588,37,2,22,1,BIC,hadoop
2d16f40dab2,4,0,2,1,BFC,hadoop
c6c0f4eb25e,0,0,1,1,BIC,hadoop
dc065dd64ca,1,0,2,1,BFC,hadoop
3da0bedaec3,15,0,2,1,BIC,hadoop
2088309d665,14,0,2,2,BFC,hadoop
b73903f6a7d,0,0,2,1,BIC,hadoop
4a4dd27571c,6,48,0,1,BFC,hadoop
e24071be0ae,262,0,10,1,BIC,hadoop
df31c446bfa,135,0,31,4,BIC,hadoop
22ff9e68d1d,9,0,8,3,BIC,hadoop
32bbc440c1d,2,2,4,2,BFC,hadoop
04cc1d614d0,0,0,1,1,BFC,hadoop
2a0147f8f69,126,11,33,7,BIC,hadoop
f8a245c2731,25,1,3,1,BFC,hadoop
cc8a2a29f18,1,0,2,1,BIC,hadoop
d96bbe152cf,3,0,25,1,BIC,hadoop
42beb56a2ed,6,0,7,1,BFC,hadoop
f95ec3f5bf1,23,0,1,1,BIC,hadoop
8df7e7deeca,0,0,4,1,BFC,hadoop
95f9a515aac,215,266,5,3,BIC,hadoop
1758f3146ae,13,8,5,1,BFC,hadoop
54217259072,14,0,2,1,BIC,hadoop
ca0827a8623,0,0,1,1,BIC,hadoop
d1dfa5f9234,10,0,6,1,BFC,hadoop
7d1b804d3a3,77,0,32,1,BFC,hadoop
9180eca5925,22,1,13,1,BIC,hadoop
a2a5cb60b09,7,0,8,2,BFC,hadoop
4b3a6b87221,508,0,1,4,BIC,hadoop
7eb7b3b723c,45,23,13,3,BIC,hadoop
3d191cc1524,0,2,7,1,BFC,hadoop
76be82bc041,0,3,2,1,BIC,hadoop
f216f22915f,3,13,9,2,BFC,hadoop
8767e4cde17,616,9,133,3,BIC,hadoop
b9d49761f72,9,0,7,2,BFC,hadoop
10f9f5101c4,6,1,9,4,BIC,hadoop
2034315763c,1,0,5,1,BFC,hadoop
a46933e8ce4,4,1,6,1,BIC,hadoop
0bdd263d82a,24,0,1,8,BIC,hadoop
f5312aedb9f,26,6,4,3,BFC,hadoop
5f9b4c14a17,408,70,179,7,BIC,hadoop
bd76d9a8272,1,0,0,1,BFC,hadoop
06d0109314b,7,0,8,1,BIC,hadoop
464470e715c,44,0,21,1,BFC,hadoop
fdba5fac263,281,125,22,6,BIC,hadoop
20176840f62,9,0,1,1,BIC,hadoop
dfa78484633,0,0,21,8,BFC,hadoop
c59af2fdf8f,360,38,215,10,BIC,hadoop
92d8f371553,2,0,3,1,BFC,hadoop
a9a8297cad4,101,80,90,2,BIC,hadoop
fd2f22adec5,37,0,25,2,BIC,hadoop
f5e0bd30fde,1,0,11,2,BFC,hadoop
9097e2efe4c,0,5,1,1,BIC,hadoop
03060075c53,5,4,7,1,BFC,hadoop
644548f2017,90,0,17,1,BIC,hadoop
90e07d55ace,64,15,50,3,BFC,hadoop
e4b8d9e72d5,11,99,4,4,BIC,hadoop
3807884263f,84,0,0,1,BIC,hadoop
f1c19b9365c,38,0,10,2,BFC,hadoop
1e06299df82,5,0,3,1,BIC,hadoop
e3242b95b35,0,4,5,2,BFC,hadoop
4492b9e7302,0,14,2,1,BFC,hadoop
67c006c322c,19,19,17,2,BIC,hadoop
ef1fc51852c,0,10,18,1,BFC,hadoop
6a059dc40e0,22,0,2,1,BIC,hadoop
91e832e7b47,18,15,5,2,BFC,hadoop
18c5bc86ca2,38,5,19,8,BIC,hadoop
e213a4e828,7,0,0,1,BFC,lucene
a26f3734c6,175,24,35,5,BIC,lucene
ec0c376c45,10,3,6,1,BFC,lucene
f818ff09d8,9,0,0,1,BIC,lucene
e9a5866777,19,0,4,2,BIC,lucene
390fbf21d2,2,5,4,1,BFC,lucene
7a65a1823a,46,9,17,6,BIC,lucene
1904003fac,0,0,5,1,BFC,lucene
e92a91ed18,364,4,58,5,BIC,lucene
317d311e7a,10,0,0,1,BIC,lucene
7a86d09aea,5,0,3,2,BFC,lucene
48cca13075,11,0,2,1,BIC,lucene
1e79c3b98e,16,0,2,1,BFC,lucene
4ff0b2f82c,286,510,240,56,BIC,lucene
4c5606ee29,147,36,30,5,BIC,lucene
612d9227de,4,3,4,2,BIC,lucene
826a172340,6,0,4,2,BFC,lucene
5a2d0bc654,358,455,94,33,BIC,lucene
8f54a18e1a,49,0,25,7,BFC,lucene
b549619dc8,13,0,10,3,BIC,lucene
376b331651,14,0,11,4,BFC,lucene
a8032b0637,19,0,0,1,BIC,lucene
1d603a9f87,7,0,5,1,BFC,lucene
c1ec7aa8df,8,0,5,2,BIC,lucene
64dfbfdfb2,4,0,0,1,BIC,lucene
b895ebde43,1036,1032,179,36,BIC,lucene
cf06226cb8,2,0,0,1,BFC,lucene
017a3bf628,1606,1218,303,83,BIC,lucene
30de6c512a,1,2,0,1,BFC,lucene
85642f59dd,368,385,607,76,BIC,lucene
ff886ebb70,48,0,49,1,BFC,lucene
11ae32183f,28,0,9,2,BIC,lucene
c96f750558,298,0,16,9,BIC,lucene
0bfaf5cdfc,38,18,9,3,BIC,lucene
c1a70f31a6,0,3,1,1,BFC,lucene
47e96510cc,0,0,1,1,BIC,lucene
3eb66fb19c,150,408,773,107,BIC,lucene
3ca4fea578,19,0,4,1,BFC,lucene
cd8fc589b9,57,8,34,3,BIC,lucene
2585c9f3ff,0,0,2,1,BFC,lucene
e92a38af90,645,700,45,61,BIC,lucene
b9c9cddff7,21,0,1,2,BFC,lucene
a81ebce804,465,2,27,4,BIC,lucene
4e79f49f23,1,4,0,1,BFC,lucene
9ba7a8e612,132,3,63,5,BIC,lucene
a5402f6863,0,2,0,1,BFC,lucene
64b86331c2,255,35,26,9,BIC,lucene
b0db06bad5,4,2,2,2,BFC,lucene
71ca2a84ba,608,591,32,15,BIC,lucene
f57e0177ff,0,0,1,1,BIC,lucene
43c2b2320d,19,3,17,1,BFC,lucene
7e86ba8c73,0,0,2,1,BIC,lucene
ed2621de84,43,34,36,3,BIC,lucene
571264bcc0,2,0,5,1,BFC,lucene
fbdd2c0ee8,0,0,3,3,BFC,lucene
e30cc70fdd,1442,1654,875,102,BIC,lucene
74b609cf88,0,0,1,1,BFC,lucene
5650939a8d,118,49,73,1,BIC,lucene
dce5964d8a,0,30,0,1,BIC,lucene
d87ffa4bf8,189,1,2,3,BIC,lucene
c7c9ef6a63,9,9,24,3,BFC,lucene
4ac6ce3190,72,0,17,5,BIC,lucene
8cd2942e35,1,0,0,1,BFC,lucene
acb185b2dc,53,0,39,2,BIC,lucene
ed1f977916,2,0,62,1,BFC,lucene
8bff9e1ff5,24,0,9,1,BIC,lucene
05a802b3eb,3,0,1,1,BIC,lucene
326ab7d577,8,0,11,1,BIC,lucene
8b32176c0b,0,0,1,1,BFC,lucene
a5430edf83,0,2,0,1,BIC,lucene
249c678054,0,0,2,1,BIC,lucene
b62cff9fc0,0,0,2,1,BIC,lucene
cc5882ab75,91,0,35,10,BIC,lucene
2e8a9b98de,41,7,34,9,BIC,lucene
68ce463907,2,0,0,1,BIC,lucene
0a3f804518,221,94,68,2,BIC,lucene
2b7362de2b,8,0,6,2,BFC,lucene
0a30dcd945,98,18,23,5,BIC,lucene
26dd4f34cd,63,0,70,1,BIC,lucene
0589889950,187,1,47,2,BIC,lucene
708cea853c,60,24,131,8,BIC,lucene
6efeb6196f,0,0,1,1,BIC,lucene
e5addc06d3,0,1,1,1,BFC,lucene
eee47902b7,0,2,3,2,BIC,lucene
9557559df0,0,1,3,1,BIC,lucene
a518f57756,0,101,0,1,BIC,lucene
52124d8ebf,48,43,141,44,BIC,lucene
e79fcaec7c,16,11,151,28,BIC,lucene
abfa458e2a,0,16,0,1,BIC,lucene
f70b9571a9,1,7,9,2,BIC,lucene
36b17aab62,381,60,325,55,BIC,lucene
8b241d9230,54,1,39,4,BIC,lucene
f19e8c58fb,68,631,268,81,BIC,lucene
2635ac0cf7,71,43,44,2,BIC,lucene
071104c07d,0,0,6,1,BIC,lucene
4140f73774,0,8,7,2,BIC,lucene
1aa40cd395,58,2,13,8,BIC,lucene
40b3f06f9d,0,0,1,1,BFC,lucene
f7707d7d91,18,0,1,1,BFC,lucene
135d89c4bd,34,82,25,9,BIC,lucene
f50e4dbf51,0,0,1,1,BFC,lucene
0810107d1f,854,551,84,5,BIC,lucene
e312ee6bfa,8,1,6,2,BFC,lucene
ab8f8f994f,173,75,19,6,BIC,lucene
b20968241a,137,27,154,5,BIC,lucene
5fca7fc938,19,9,8,4,BIC,lucene
6aea26168a,0,0,13,3,BIC,lucene
f389654f9c,17,0,1,1,BIC,lucene
e7294aab77,651,180,57,12,BIC,lucene
00b29b4298,6,42,278,3,BFC,lucene
2d4e789d00,3869,251,185,37,BIC,lucene
232aaa42ed,4,0,2,1,BFC,lucene
f5b5d3e17f,137,64,41,16,BIC,lucene
2c34cb858e,1,0,2,1,BFC,lucene
e6231ad585,69,4,43,3,BIC,lucene
e61398084d,637,153,214,28,BIC,lucene
145772accb,19,4,4,4,BFC,lucene
0756041335,0,5,0,1,BIC,lucene
5f618b8000,10,0,3,3,BIC,lucene
f33c2917e3,0,2,1,1,BIC,lucene
c672b56305,0,1,13,2,BFC,lucene
aa22ceb97d,1949,503,284,15,BIC,lucene
d6b40cc39a,0,6,11,1,BFC,lucene
86d4a61797,1,0,1,1,BFC,lucene
0dec2d1017,106,0,6,6,BIC,lucene
fa52907742,116,0,0,2,BIC,lucene
3b2e04d6a9,143,2,6,4,BIC,lucene
a7f879db76,1,0,12,1,BFC,lucene
be0bb552ee,1,0,1,1,BIC,lucene
0ce6e9a694,182,3,18,10,BIC,lucene
6b33a8c593,32,0,15,1,BFC,lucene
3865e131cb,27,0,4,1,BIC,lucene
e4ed871c5e,5,0,4,1,BFC,lucene
f61d232630,118,75,19,2,BIC,lucene
225459815c,6,0,1,1,BFC,lucene
a9670cc6e7,68,24,18,4,BIC,lucene
7e4603a988,43,1,22,1,BFC,lucene
50baab7c4b,94,0,21,3,BIC,lucene
34a47e66ca,0,0,1,1,BFC,lucene
27d68500ee,9,0,4,1,BIC,lucene
e584e3a060,21,1,7,1,BFC,lucene
f60122e08d,225,14,18,2,BIC,lucene
3cf40619ca,6,0,17,1,BFC,lucene
9d4bd1f350,0,19,19,1,BIC,lucene
936aa1dcfc,4,0,3,1,BFC,lucene
bf00c1a0a7,16,0,17,1,BFC,lucene
b221a53496,646,737,268,16,BIC,lucene
8571b92efd,0,8,25,7,BIC,lucene
29b23f9166,109,0,0,3,BIC,lucene
60f161fd9b,14,0,6,2,BFC,lucene
c97a92dcc3,0,0,6,1,BFC,lucene
c8261a41d3,11,0,34,1,BIC,lucene
4c83c2200c,15,47,14,2,BFC,lucene
9b255d6cc4,12,0,5,1,BIC,lucene
7cde848e37,0,2,5,2,BIC,lucene
ff83497b27,895,101,119,8,BIC,lucene
4e73212034,2,0,4,1,BFC,lucene
9ba13dea31,48,6,10,2,BIC,lucene
602a1f50e7,0,0,7,1,BFC,lucene
fdeb323243,44,2,8,4,BIC,lucene
7053a99f49,1,0,0,1,BIC,lucene
18256fc287,0,0,1,1,BFC,lucene
0442747f05,65,75,44,10,BIC,lucene
89c65af2a6,0,3,3,1,BFC,lucene
093a8ce57c,47,31,11,13,BIC,lucene
51b131950d,3,0,1,1,BFC,lucene
57b47fed01,85,10,57,10,BIC,lucene
9ab76a1e41,8,2,10,1,BFC,lucene
ce172acb8f,525,570,318,31,BIC,lucene
3b57a5a624,44,0,1,1,BFC,lucene
229229a3c0,5,81,51,1,BIC,lucene
51fde1cbf9,11,4,2,2,BFC,lucene
f342cd14df,4,0,7,2,BFC,lucene
e3ba95b8b8,0,28,13,3,BIC,lucene
60ce8d7c54,2,0,4,1,BFC,lucene
844ca4a348,198,0,20,5,BIC,lucene
e152575f5e,0,0,1,1,BFC,lucene
07be2c42ba,741,11,105,17,BIC,lucene
75e69c5198,0,0,1,1,BFC,lucene
001a3ca55b,48,36,32,13,BIC,lucene
e2521b2a8b,38,0,0,1,BFC,lucene
067fb25e43,132,12,63,8,BIC,lucene
89f68fbb,0,0,2,1,BFC,oozie
c95c809a,832,465,478,59,BIC,oozie
97e3f904,0,0,2,1,BFC,oozie
a77190db,63,12,5,2,BIC,oozie
3d1fe287,36,0,17,1,BFC,oozie
81039015,5,9,228,3,BIC,oozie
0a6f83e6,0,1,1,1,BFC,oozie
81ce22b6,3480,235,140,38,BIC,oozie
87040a1f,22,9,54,8,BIC,oozie
e0b7cde7,21,0,10,2,BFC,oozie
c7fa12bb,13,0,2,1,BIC,oozie
d2a98a11,7,0,6,1,BFC,oozie
ca01c283,1037,0,7,15,BIC,oozie
3276633f,21,10,3,3,BIC,oozie
7cebc260,1,2,2,1,BFC,oozie
ef513d28,71,10,19,1,BIC,oozie
19014354,26,5,0,1,BFC,oozie
fc9aeb13,81,0,6,2,BIC,oozie
57152acd,8,2,1,2,BFC,oozie
78c86996,4,0,1,1,BIC,oozie
eba0f036,116,0,1,4,BFC,oozie
c5f5f9d6,30,0,8,1,BIC,oozie
1b46fd92,0,0,1,1,BFC,oozie
0c90b8c3,33,0,7,3,BIC,oozie
f83f484a,5,0,6,2,BFC,oozie
6aa84761,4,0,0,1,BIC,oozie
72ee2589,14,0,0,1,BFC,oozie
e86b96d4,12,0,2,6,BIC,oozie
3e20533b,111,47,34,17,BIC,oozie
44af3a3c,0,28,0,1,BIC,oozie
0f086d41,112,1,13,2,BIC,oozie
d330d406,21,47,59,4,BFC,oozie
70a5ffe4,20,0,10,3,BIC,oozie
aebf775a,0,0,2,1,BFC,oozie
23831e85,0,0,2,1,BFC,oozie
396fcc6c,7,0,0,1,BIC,oozie
10549ef2,2,0,2,1,BIC,oozie
b074b2ce,106,40,59,6,BIC,oozie
6aefbc71,0,2,1,1,BFC,oozie
0f4b0181,2262,420,158,49,BIC,oozie
746be5c2,13,2,13,2,BFC,oozie
b54417b7,0,5,7,2,BIC,oozie
d929be9f,1,0,1,1,BFC,oozie
4bd777e5,110,0,4,2,BIC,oozie
07fa74f4,36,3,13,2,BFC,oozie
2fc2fc9e,233,95,222,69,BIC,oozie
90c06857,168,5,13,8,BIC,oozie
56fd858d,28,0,0,1,BIC,oozie
c270a20c,2,0,2,1,BFC,oozie
cbb1eac9,88,0,6,6,BIC,oozie
12ef6147,36,0,3,1,BIC,oozie
cd91b960,0,1,10,1,BFC,oozie
605ed64f,44,5,56,8,BIC,oozie
3ddd8249,2,23,16,4,BFC,oozie
e2090113,200,1,9,7,BIC,oozie
92f4079e,8,0,6,1,BFC,oozie
8ca266fa,273,126,37,1,BIC,oozie
0439fbb0,0,6,7,1,BFC,oozie
872db60c,13,2,27,3,BIC,oozie
db11ab35,48,0,1,1,BFC,oozie
cc4b4398,528,28,16,14,BIC,oozie
55c15b2f,0,4,1,1,BFC,oozie
222b0145,11,0,15,1,BFC,oozie
b66a2dc7,0,0,1,1,BFC,oozie
57d1762e,0,0,1,1,BIC,oozie
109f41c6,3,1,0,1,BIC,oozie
5940a376,10,55,38,9,BFC,oozie
9df0de78,366,77,109,20,BIC,oozie
f97be5d5,1,1,4,1,BIC,oozie
4249aaee,145,1,8,7,BIC,oozie
89d108d7,0,2,0,1,BFC,oozie
24fedae6,70,16,22,3,BIC,oozie
a98c7f89,3,0,15,1,BFC,oozie
dc56aaee,143,0,0,1,BIC,oozie
6dc33ba1,0,1,0,1,BFC,oozie
283cf1c2,89,0,3,3,BIC,oozie
7cf82d31,2,3,3,2,BFC,oozie
43480c12,9,0,9,1,BFC,oozie
4637ca41,0,0,9,1,BIC,oozie
