commit_id,lines_added,lines_removed,lines_modified,files_changed,commit_role,project
712504b2d,1,1,0,1,BFC,accumulo
995080c44,195,2,11,5,BIC,accumulo
a323f0362,2,2,2,2,BFC,accumulo
f122beb12,14,5,6,1,BFC,accumulo
7f20e6aef,15,0,18,1,BIC,accumulo
d4d455f1f,11,3,0,1,BFC,accumulo
f42ead0d3,45,3,1,2,BIC,accumulo
01d3af40b,269,32,4,2,BIC,accumulo
64713554b,54,1,4,1,BFC,accumulo
3af75fc68,7899,1310,2022,124,BIC,accumulo
3e5524c3c,641,32,134,23,BIC,accumulo
74507ae3a,10,5,1,1,BIC,accumulo
3ef67cbee,1,1,0,1,BFC,accumulo
f2de427f7,19,21,49,22,BIC,accumulo
c9c0d45b5,13,0,29,3,BIC,accumulo
859222146,0,11,3,1,BIC,accumulo
261cf3618,0,11,3,1,BIC,accumulo
d7ba6ca6f,3,3,5,2,BIC,accumulo
891584fb7,0,0,1,1,BFC,accumulo
085c5b793,2,0,5,1,BIC,accumulo
94c2a31fc,8,0,3,1,BIC,accumulo
9a4dd3000,0,11,0,1,BFC,accumulo
a943f323b,130,162,208,35,BIC,accumulo
e77bdd7de,0,0,2,1,BFC,accumulo
f446b9007,58,3,40,2,BIC,accumulo
7f8f66d8a,139,27,106,12,BIC,accumulo
c8bd1ddd0,138,20,39,39,BIC,accumulo
45f18c174,3987,155,702,71,BIC,accumulo
a8d1acd4b,0,1,1,1,BFC,accumulo
8d7f04cd9,207,19,40,1,BIC,accumulo
659a33e8e,15,19,13,1,BIC,accumulo
81a77e1d6,4,0,2,1,BFC,accumulo
9cee40724,1,1,0,1,BIC,accumulo
5eceb10e2,26,0,3,2,BIC,accumulo
e4dbe897c,9,1,7,2,BFC,accumulo
5cb976b3c,0,0,3,1,BIC,accumulo
d2f82cd92,111,38,29,9,BIC,accumulo
fa978b0c3,0,0,1,1,BFC,accumulo
ca083a5b8,17,14,6,10,BIC,accumulo
e43561112,40,1,6,1,BFC,accumulo
db2dda1b7,1414,1736,153,48,BIC,accumulo
2c9833171,6817,39,76,57,BIC,accumulo
fa22fa431,8,1,5,1,BFC,accumulo
be646246b,10,0,1,1,BIC,accumulo
699b8bf06,1,0,0,1,BFC,accumulo
b0e1a81cf,23,12,8,1,BIC,accumulo
