commit_id,num_lines_added,num_lines_deleted,num_lines_modified,files_changed,Type
712504b2d,0,0,1,1,BFC
995080c44,195,2,11,5,BIC
c475c85ff,0,0,0,0,BFC
a323f0362,0,0,4,2,BFC
f122beb12,14,5,6,1,BFC
7f20e6aef,15,0,18,1,BIC
191bee180,0,0,0,0,BIC
d4d455f1f,40,0,3,2,BFC
f42ead0d3,112,3,2,3,BIC
5875781c5,0,0,1,1,BFC
01d3af40b,269,32,4,2,BIC
6927fb527,1,1,0,1,BFC
64713554b,54,1,4,1,BFC
3af75fc68,7377,738,2618,126,BIC
1aceaa014,9,0,1,1,BFC
3e5524c3c,971,21,165,29,BIC
74507ae3a,6,1,5,1,BIC
3ef67cbee,61,0,468,3,BFC
840dba269,29,105,55,2,BIC
f2de427f7,32,70,86,31,BIC
87c609d77,22,2,7,3,BFC
c9c0d45b5,13,0,29,3,BIC
859222146,0,11,3,1,BIC
261cf3618,0,11,4,2,BIC
cc3c2d8a8,20,0,5,1,BIC
75fcf1c7f,0,0,0,0,BIC
d7ba6ca6f,1,1,7,2,BIC
4d83d53b0,0,0,1,1,BIC
891584fb7,0,0,1,1,BFC
085c5b793,2,0,5,1,BIC
0398fa70b,10,6,11,1,BFC
94c2a31fc,62,7,3,4,BIC
0277521da,1,4,3,1,BIC
9a4dd3000,0,11,0,1,BFC
a943f323b,145,112,301,44,BIC
d36e317a8,2,0,1,1,BFC
29c6052d6,0,0,7,7,BIC
e77bdd7de,0,0,2,1,BFC
f446b9007,141,0,44,3,BIC
a24a286d8,5,0,7,1,BFC
7f8f66d8a,471,23,115,16,BIC
c12679ad4,1,0,6,1,BFC
c8bd1ddd0,132,13,77,56,BIC
45f18c174,5679,248,887,102,BIC
a8d1acd4b,2,1,2,2,BFC
8d7f04cd9,449,11,48,2,BIC
4cffe0290,4,1,0,2,BFC
659a33e8e,17,22,15,3,BIC
81a77e1d6,78,0,2,2,BFC
9cee40724,0,0,1,1,BIC
5eceb10e2,111,0,3,3,BIC
e4dbe897c,8,0,8,2,BFC
5cb976b3c,0,0,3,1,BIC
d2f82cd92,87,14,53,9,BIC
fa978b0c3,88,0,2,2,BFC
ca083a5b8,11,8,12,10,BIC
e43561112,82,1,6,2,BFC
db2dda1b7,1440,1737,239,57,BIC
85eb28052,19,0,8,2,BFC
2c9833171,9306,91,145,87,BIC
fa22fa431,52,1,5,2,BFC
be646246b,10,0,4,2,BIC
699b8bf06,83,0,0,2,BFC
b0e1a81cf,15,4,16,1,BIC
a541e766e,6,0,5,2,BFC
dad7c7c93,351,3,19,5,BIC
a2c2d38aa,57,1,1,2,BFC
e5086f908,12,5,2,3,BFC
33890b00e,4,0,0,1,BIC
f2868c621,0,0,0,0,BIC
fe77101d0,181,0,1,2,BIC
a8c3587d1,0,0,0,0,BIC
4911f855d,11,2,6,3,BFC
ef7c4f083,0,4,2,1,BIC
72156b82e,94,1,7,4,BIC
e33c1f495,3,1,7,4,BFC
0607c8cf0,10,0,2,2,BIC
22a6209b8,30,2,10,3,BIC
c5153331c,22,1,7,4,BFC
2faafcce4,1800,97,268,74,BIC
5bd68ef9b,46,61,92,50,BIC
7038755be,1800,97,268,74,BIC
a8ef75ee0,73,5,14,5,BFC
d1aaecba9,7,0,0,2,BIC
47a091ade,65,6,4,7,BFC
2f788f482,1610,100,809,26,BIC
76ea14ed31,53,74,12,10,BFC
0cbc5fa385,30,31,34,11,BIC
786d4b6334,17,2,15,8,BFC
6b7a7a706d,5152,54,114,68,BIC
6b9a59753a,152,64,45,6,BFC
aba473e84a,104,73,123,11,BIC
3f2743b58b,829,527,207,50,BFC
fe0e2c563f,345,1,515,4,BIC
3b2e103b7e,105,109,1,4,BFC
ac0c66e986,226,10,59,6,BIC
bf5ca2f5e6,84,4,17,4,BFC
be25c9e771,153,2,24,4,BIC
e858b20bee,7,17,48,4,BFC
8a2cb5b35a,277,55,308,24,BIC
43ae930b01,111,3,31,4,BFC
c9f0dd0b82,9581,6967,3532,83,BIC
44b2a5ccaa,63,2,27,3,BFC
9842b40d2b,2,2,10,2,BIC
6dd00195e6,112,1,66,5,BIC
8c237ec866,113,1,67,5,BIC
4b4bcbfb67,166,0,82,4,BIC
a00ffffc54,2,2,7,3,BFC
b5a2bb8ddb,594,0,14,20,BIC
d4ba96481c,0,6,0,2,BFC
eef7b7308e,0,0,0,0,BIC
b96c77a8f9,88,1,1,2,BIC
288573dcea,0,19,1,2,BFC
268f5cb652,38,13,108,6,BIC
c15a281e01,68,0,23,2,BFC
489a9c4b08,113,20,9,4,BIC
9752f7e772,91,3,1,2,BFC
7153112e79,705,57,286,14,BIC
9b87326e87,3,1,5,2,BFC
d43ea4d673,162,28,43,9,BIC
3a9ecc0924,0,5,0,2,BFC
6d06814f72,313,22,81,35,BIC
1e6e73f30e,4,0,1,2,BFC
d0f7a51537,0,0,1,1,BIC
f33a250c0e,385,25,44,11,BIC
e3a50d9464,7,0,0,1,BFC
4fa9ac5505,928,469,243,19,BFC
af6aba67bb,308,29,22,16,BFC
90c9904fcd,270,64,30,7,BIC
03463912a9,6,0,6,1,BFC
4a42b6d5b9,4,5,29,3,BIC
7be21c9148,3,0,1,1,BFC
b653ee0a59,212,17,24,10,BIC
c9936ad349,2,0,18,1,BFC
65ca08455f,272,0,3,2,BIC
c7b350b678,24,2,8,1,BFC
e02969e173,10,0,2,1,BIC
14738859cc,0,3,1,1,BFC
a8b8b4155b,14,0,8,1,BIC
18e58ffb37,0,0,3,1,BFC
2e14098c19,250,44,57,16,BIC
