commit_id,lines_added,lines_removed,lines_modified,lines_changed,files_changed,commit_role,project,dataset_source,cve_id
d08d4a8c7387e758d439b0592782e4cfa2b4d6a4,0,0,1,1,1,VFC,FFmpeg,ICVul,CVE-2018-13305
b9c94e826e7551027754ecfa60e3e487e0c28fcb,3,0,2,5,1,VIC,FFmpeg,ICVul,CVE-2017-9991
1434df3b93fde086be729d174ffbbee1e25792b3,6,0,5,11,1,VIC,FFmpeg,ICVul,CVE-2013-7024
4f05e2e2dc1a89f38cd9f0960a6561083d714f1e,2,0,0,2,1,VFC,FFmpeg,ICVul,CVE-2017-14055
ac4b32df71bd932838043a4838b86d11e169707f,1135,127,215,1477,20,VIC,FFmpeg,ICVul,CVE-2017-9994
5cd57e8758e336e86698d4994ee088077869e42d,4,0,0,4,1,VIC,FFmpeg,ICVul,CVE-2013-7016
bcd5d979aa377a16d7fa6b9993e269003281af5c,9,0,86,95,2,VIC,FFmpeg,ICVul,CVE-2016-3062
a92fbe16f2dc118c0d3adc222484268831388648,51,0,1,52,2,VIC,FFmpeg,ICVul,CVE-2016-10190
9f1dae944e2cf72800eb79b32e831b59fd6afdb0,116,0,1,117,3,VIC,FFmpeg,ICVul,CVE-2016-10190
0d8506b8c52659c5bfff9535391d5e95ddcd45f1,466,0,2,468,5,VIC,FFmpeg,ICVul,CVE-2018-7557
4377fafda100117f75d62ba91bce6d8509e01a50,0,0,2,2,1,VIC,FFmpeg,ICVul,CVE-2017-14223
d05f72c75445969cd7bdb1d860635c9880c67fb6,3,1,3,7,1,VIC,FFmpeg,ICVul,CVE-2017-9992
9a271a9368eaabf99e6c2046103acb33957e63b7,8,0,0,8,1,VFC,FFmpeg,ICVul,CVE-2013-7018
3e5959b3457f7f1856d997261e6ac672bba49e8b,0,0,1,1,1,VFC,FFmpeg,ICVul,CVE-2020-35965
4ff99ab3d7d5576e99e6b8a411b4a44500ed88fa,78,44,7,129,1,VIC,FFmpeg,ICVul,CVE-2016-10190
9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,2,0,2,4,1,VFC,FFmpeg,ICVul,CVE-2021-38171
189ff4219644532bdfa7bab28dfedaee4d6d4021,16,0,1,17,1,VFC,FFmpeg,ICVul,CVE-2017-9993
5cb49ca11bca4bedb71ee0204e8115fa970d6dbb,22,22,20,64,1,VIC,FFmpeg,ICVul,CVE-2018-14394
e8714f6f93d1a32f4e4655209960afcf4c185214,1,0,0,1,1,VFC,FFmpeg,ICVul,CVE-2015-3417
ec9e87c922adeffbf4c351d625a4c2e1c430eb19,1480,0,1,1481,5,VIC,FFmpeg,ICVul,CVE-2017-16840
7d57ca4d9a75562fa32e40766211de150f8b3ee7,8,0,0,8,1,VFC,FFmpeg,ICVul,CVE-2016-10191
6959358683c7533f586c07a766acc5fe9544d8b2,5,2,0,7,1,VFC,FFmpeg,ICVul,CVE-2020-13904
2fdf638b0c66c22357d56f7cb205dd241b4a8c58,2116,0,1,2117,13,VIC,FFmpeg,ICVul,CVE-2013-7009
9200514ad8717c63f82101dc394f4378854325bf,231,20,3945,4196,240,VIC,FFmpeg,ICVul,CVE-2018-15822
e6b244a3b986e513779aec83beab4fb25a130aa2,2,9,0,11,2,VIC,FFmpeg,ICVul,CVE-2016-10191
f645f1d6eadae8d67c832125186ad5b209e8ba03,85,0,55,140,2,VIC,FFmpeg,ICVul,CVE-2016-10191
d42b49fc87e97bf0d95232868b69295333bd818f,119,0,2,121,1,VIC,FFmpeg,ICVul,CVE-2023-50008
6bbef938839adc55e8e048bc9cc2e0fafe2064df,0,0,1,1,1,VFC,FFmpeg,ICVul,CVE-2018-12458
5dab7b91adf65eb35d4ae0e76fbd988d55b0d764,446,0,2,448,8,VIC,FFmpeg,ICVul,CVE-2017-9990
0539d84d985e811e5989ef27c13f7e2dda0f9b89,5,0,10,15,5,VIC,FFmpeg,ICVul,CVE-2018-1999011
fc6de70c44be05eb0368ab519bfb790431d8dee5,7,0,5,12,1,VIC,FFmpeg,ICVul,CVE-2013-7024
f31fc4755f69ab26bf6e8be47875b7dcede8e29e,4,0,2,6,1,VFC,FFmpeg,ICVul,CVE-2017-11719
0b42631641d998e509cde6fa344edc6ab5cb4ac8,4,12,95,111,1,VIC,FFmpeg,ICVul,CVE-2013-7012
a1b9004b768bef606ee98d417bceb9392ceb788d,7,0,4,11,1,VFC,FFmpeg,ICVul,CVE-2013-7019
e477f09d0b3619f3d29173b2cd593e17e2d1978e,13,0,1,14,1,VFC,FFmpeg,ICVul,CVE-2017-7863
2b790b1c9e3bf8f4fbc56fc3a071f2015b58de21,0,7,8,15,1,VIC,FFmpeg,ICVul,CVE-2017-9990
ed188f6dcdf0935c939ed813cf8745d50742014b,5,0,1,6,1,VFC,FFmpeg,ICVul,CVE-2019-12730
96349da5ec8eda9f0368446e557fe0c8ba0e66b7,2,0,3,5,1,VFC,FFmpeg,ICVul,CVE-2017-11399
0ab9362fcb77c2d442fa20afcc2f1d9151228f06,331,0,1,332,3,VIC,FFmpeg,ICVul,CVE-2013-4263
fa11c4c7fa3961b0101daaa0032bb26a7a1a9c0f,273,0,12,285,6,VIC,FFmpeg,ICVul,CVE-2024-22860
d2e8974699a9e35cc1a926bf74a972300d629cd5,2,0,0,2,1,VFC,FFmpeg,ICVul,CVE-2024-22860
7ec414892ddcad88313848494b6fc5f437c9ca4a,7,0,0,7,1,VFC,FFmpeg,ICVul,CVE-2017-14058
a559d65c0711284fc63689991f69db01bcfbb140,64,0,436,500,1,VIC,FFmpeg,ICVul,CVE-2022-3341
cb96da490265a0a798324ccce1c87dca9acbf6e9,300,0,1,301,3,VIC,FFmpeg,ICVul,CVE-2017-14056
e43a0a232dbf6d3c161823c2e07c52e76227a1bc,0,0,14,14,11,VFC,FFmpeg,ICVul,CVE-2013-4263
805b57001f80237e24dc2d225c1b9e116566d247,131,0,0,131,1,VIC,FFmpeg,ICVul,CVE-2017-7866
51a2b5546b29b113da4abd1cd9793c01e545da19,0,0,3,3,1,VIC,FFmpeg,ICVul,CVE-2016-10190
cc85ca1cb347570a95d8615b7d4c7b542042b7f0,322,3,8,333,1,VIC,FFmpeg,ICVul,CVE-2021-33815
87b8c1081959e45ffdcbabb3d53ac9882ef2b5ce,0,0,1,1,1,VFC,FFmpeg,ICVul,CVE-2024-22861
b05cd1ea7e45a836f7f6071a716c38bb30326e0f,2,1,6,9,1,VFC,FFmpeg,ICVul,CVE-2013-7020
e1be80aa11cca765881d04f21119487db53c4ffa,0,5,1,6,1,VIC,FFmpeg,ICVul,CVE-2021-38114
96949dafcca87f65902bd77a0bc56007d9cead70,45,10,45,100,17,VIC,FFmpeg,ICVul,CVE-2016-10190
00e8181bd97c834fe60751b0c511d4bb97875f78,2,0,1,3,1,VFC,FFmpeg,ICVul,CVE-2018-13303
d549b0910c3471beb9ef268ce0d70d3ab9ed7bb3,19,14,2,35,1,VIC,FFmpeg,ICVul,CVE-2017-14058
86736f59d6a527d8bc807d09b93f971c0fe0bb07,0,0,1,1,1,VFC,FFmpeg,ICVul,CVE-2013-7014
52b6bad21992e71dd92e3a91522acf1525a76307,477,0,2,479,4,VIC,FFmpeg,ICVul,CVE-2021-38114
5ec3c7b7c1189dca0ba29edbd33b5dbe68313382,3,0,3,6,1,VIC,FFmpeg,ICVul,CVE-2018-1999012
