commit_id,lines_added,lines_removed,lines_modified,lines_changed,files_changed,commit_role,project,dataset_source,cve_id
dee95f4fb45cf98b2d15d43fc90391c6ca3b7f3a,7,6,4,17,1,VIC,tcpdump,ICVul,CVE-2017-13033
d2dbd0ef1bf0594984a715eeeb72598ca14a82d8,0,13,1,14,1,VIC,tensorflow,ICVul,CVE-2021-37683
cf01fb9985e8deb25ccf0ea54d916b8871ae0e62,2,6,6,14,1,VFC,linux,ICVul,CVE-2017-7616
bb91bf83f9fc60cbd6cb30e6b2a7858efe1aa4c5,47,6,14,67,4,VIC,php-src,ICVul,CVE-2017-5340
466d84d2896336390e8dc1efeaaf5e385697b386,37,1,5,43,3,VIC,tensorflow,ICVul,CVE-2023-25669
e79d9bc7ea76e08fc24d7adaad8b6a821d1624c3,4,10,2,16,1,VIC,linux,ICVul,CVE-2012-3552
54cdc146bbe50018526770be201b56643ad58ba7,2,0,0,2,1,VIC,ImageMagick,ICVul,CVE-2023-3745
15c45f7b2e81655f6eb500ec949c8bd70a04325a,104,12,24,140,6,VIC,linux,ICVul,CVE-2013-0310
00e8f205475332d7842d0f0d1481eeab4e83017c,11,1,2,14,2,VFC,radare2,ICVul,CVE-2017-9761
3c08fdae712e79cc7a678a2969c2ac15c5ff8865,2,8,10,20,5,VIC,redis,ICVul,CVE-2021-32627
3a37efd7ece979e9c63dc8f2f2d3816bab8b1156,260,58,236,554,69,VIC,ImageMagick,ICVul,CVE-2016-7532
d8433c72558ce7772da4e18a9bc9b4cc016b4eb7,677,84,411,1172,6,VIC,suricata,ICVul,CVE-2019-18625
1e2bd517c108816220f262d7954b697af03b5f9c,21,2,6,29,2,VIC,linux,ICVul,CVE-2013-4563
6921ed9049bc7457f66c1596c5b78aec0dae4a9d,12,1,6,19,1,VFC,linux,ICVul,CVE-2023-1998
cae13fe4cc3f24820ffb990c09110626837e85d4,5,0,0,5,1,VFC,linux,ICVul,CVE-2011-2182
1c109fabbd51863475cd12ac206bdd249aee35af,4,0,1,5,1,VFC,linux,ICVul,CVE-2016-9178
3e29c1095a091f606a26c04a6542061c9e5f1d6b,23,0,0,23,1,VIC,linux,ICVul,CVE-2013-2546
00eba012d53e63f620455f7013917e4bf59424f2,4,1,5,10,1,VIC,linux,ICVul,CVE-2016-9588
1ee7b53a1c68ccb4fa7122204b17c03721cc7e79,2,0,0,2,1,VIC,squid,ICVul,CVE-2023-46728
227e7db4b0d3d9ff8325b1f0f3a2ee1f91c8eb0c,99,13,37,149,8,VIC,tensorflow,ICVul,CVE-2021-29531
0b314a0fc81559198724a94a56740b6923a499c8,20,0,1,21,1,VIC,tcpdump,ICVul,CVE-2017-13030
d5f5bcd425b771c0b7ff5a650b2ce061ac8bbb87,7,13,3,23,1,VIC,linux,ICVul,CVE-2017-18360
15576b6a58a24ed2705d6228d0fde8cfcef26cae,1,27,181,209,9,VIC,squid,ICVul,CVE-2023-46728
b7550787fe8b5beffb5f56fa11a87712d699d085,0,0,1,1,1,VIC,linux,ICVul,CVE-2016-6136
b556f8ad58c6e9f8f485c8cef7546e3fc82c382a,8,3,21,32,5,VIC,linux,ICVul,CVE-2016-6136
19651f3db63fa1511ed83a348c4c82fa553f8d01,19,6,40,65,2,VFC,ImageMagick,ICVul,CVE-2019-13308
c283962960d724d8bf52eaa2089781dea80c4d9d,53,32,172,257,43,VIC,tensorflow,ICVul,CVE-2020-15211
a1616a5ac99ede5d605047a9012481ce7ff18b16,1,0,0,1,1,VFC,linux,ICVul,CVE-2019-11884
40adbe4dd15b582b0210dfbf40c243a62f5119fa,5,0,4,9,1,VFC,tensorflow,ICVul,CVE-2022-35982
d049f74f2dbe71354d43d393ac3a188947811348,11,3,2,16,5,VFC,linux,ICVul,CVE-2013-2929
f6359593f9c877fcf81cbe0a1842ede8a77e4dbd,33,0,42,75,1,VIC,tensorflow,ICVul,CVE-2021-41226
06f748c4754de4fe2fc8d517acf29cb46a0b2d60,37,14,36,87,1,VIC,linux,ICVul,CVE-2022-33981
8b667b7d4bf1b845ce2ccffad9221490afa583ce,1148,0,0,1148,5,VIC,tensorflow,ICVul,CVE-2021-29578
876d9484edf77d228adb42aecd4debd58d7739d6,6,2,4,12,1,VIC,linux,ICVul,CVE-2017-1000251
87129cc0e3fcd89a1db3e99d62dc710e05749f77,4,1,31,36,3,VIC,linux,ICVul,CVE-2015-4177
d114b9fe78c8d6fc6e70808c2092aa307c36dc8e,5,0,4,9,1,VFC,linux,ICVul,CVE-2015-4002
83ed75feba32e46f736fcce0d96a0445f29b96c2,24,21,53,98,1,VFC,krb5,ICVul,CVE-2015-8631
b69f2292063d2caf37ca9aec7d63ded203701bf3,5,3,6,14,4,VFC,linux,ICVul,CVE-2012-0879
31c1c0b46a7021802c3d1d18039fca30dba5a14e,2,0,5,7,1,VFC,FFmpeg,ICVul,CVE-2017-9608
db8dac20d5199307dcfcf4e01dac4bda5edf9e89,1095,1204,4,2303,14,VIC,linux,ICVul,CVE-2012-3552
858119e159384308a5dde67776691a2ebf70df0f,5,6,221,232,74,VIC,linux,ICVul,CVE-2015-1805
1fd4f2a5ed8f80cf6e23d2bdf78554f6a1ac7997,456,6,1,463,5,VIC,linux,ICVul,CVE-2013-1798
0cdfa9e6f0915e3d243e2393bfa8a22e12d553b0,11,1,5,17,1,VFC,linux,ICVul,CVE-2022-47518
2e07e8348ea454615e268222ae3fc240421be768,6,1,0,7,1,VFC,linux,ICVul,CVE-2023-51779
dff11411ccacacd167e7589f7a7840ef80712b60,178,255,75,508,23,VIC,radare2,ICVul,CVE-2017-9520
40efc6fa179f440a008333ea98f701bc35a1f97f,140,143,58,341,5,VIC,linux,ICVul,CVE-2012-3552
239139d2ae6a81ae9ba499ad78b56d9b2931538a,2,1,1,4,1,VFC,tensorflow,ICVul,CVE-2023-25663
7bc848045e9b87774bb34e55c0cc0b5927ac43eb,4,3,3,10,1,VIC,tensorflow,ICVul,CVE-2022-41884
f411fe7d75197852f0e5ee85027a06d58dd8df4c,0,0,1,1,1,VFC,squid,ICVul,CVE-2024-37894
ffde45acf3348f8353fb4064a1b21683ee6b5ddf,8,1,5,14,1,VFC,tcpdump,ICVul,CVE-2017-12994
16b3003ffc6393e250f069aa28a78dc5a2c064b2,14,0,33,47,1,VIC,php-src,ICVul,CVE-2017-12932
4661492e5a617199457c8074bad22f766a116cdc,9,17,16,42,1,VFC,FreeRDP,ICVul,CVE-2022-24883
cba1ad284dd8a1dc636df4eda32266e4124c9d58,4978,0,0,4978,17,VIC,krb5,ICVul,CVE-2015-8630
