commit_id,lines_added,lines_removed,lines_modified,files_changed,project,commit_role
8896ac5d0d3d9c5d9e67a22b0a9d36b6117fb2f0,33,1,15,5,linux,BFC
1f2112af11e4c330cd070464e95ba9f546b8959b,0,0,2,1,linux,BFC
44963d649da63ce8ed8f41b8a267c745ca1ec0b0,2,0,0,1,linux,BFC
7688f2c3bbf55e52388e37ac5d63ca471a7712e1,3,0,0,1,linux,BFC
8cdddd182bd7befae6af49c5fd612893f55d6ccb,8,0,1,3,linux,BIC
cf2f1abfbd0dba701f7f16ef619e4d2485de3366,0,79,30,1,linux,BIC
6f96c3c6904c26cea9ca2726d5d8a9b0b8205b3c,30,1,4,2,linux,BIC
43daa01323da37a3692cabe1579ef5c2c4372e06,1,0,1,1,linux,BFC
8d5bce0c37fa10f21dbdd6a6d8fcba85202fe24e,14,0,23,1,linux,BIC
855ed04a3758b205e84b269f92d26ab36ed8e2f7,29,4,5,2,linux,BIC
fcb1fe9c9e0031ff02aaa7532822807d27968044,4,4,12,2,linux,BIC
edac65eaf8d5c00b1d6004a44e76b9de6b038dc6,9,25,7,1,linux,BIC
77ceb68e29ccd25d923b6af59e74ecaf736cc4b7,184,0,2,3,linux,BIC
339ddaa626995bc6218972ca241471f3717cc5f4,0,0,1,1,linux,BFC
1129d31b55d509f15e72dc68e4b5c3a4d7b4da8d,1,0,3,1,linux,BFC
9ae148f80a96a91b636ab0b57d24d4440b919817,0,0,4,1,linux,BFC
db8e712e06874e37a1fdb9bb011618811fc96dbd,2,1,0,1,linux,BFC
42b4f7f66a43cdb9216e76e595c8a9af154806da,0,6,4,3,linux,BFC
2d665034f239412927b1e71329f20f001c92da09,61,5,4,1,linux,BFC
628df9dc5ad886b0a9b33c75a7b09710eb859ca1,2,0,3,1,linux,BFC
7b594769120b43b8da1ff8f7b4c31a47fabd6ac0,85,2,27,2,linux,BIC
75b7b86bdb0df37e08e44b6c1f99010967f81944,1,0,0,1,linux,BFC
328e566479449194979d64685ae6d74c989599bb,98,8,8,11,linux,BIC
ca3ffcbeb0c866d9b0cb38eaa2bd4416597b5966,0,0,1,1,linux,BFC
1754cea1763e2bdc6a2153220440fe9aa9e0f2c9,0,0,1,1,linux,BFC
eb9d8ddbc107d02e489681f9dcbf93949e1a99a4,0,6,19,1,linux,BFC
4c767ce48cf858971545164c4c53d028e6241c07,0,0,2,1,linux,BFC
ce14e868a54edeb2e30cb7a7b104a2fc4b9d76ca,16,6,22,3,linux,BFC
f95b2c45d5f785f069d186b11b798f9c1d37dcda,0,1,2,1,linux,BFC
1add6988024030b08e4cc14001c4e64a901fa35b,355,0,0,2,linux,BIC
6ba8a3b19e764b6a65e4030ab0999be50c291e6c,145,6,20,11,linux,BIC
5b316468983dfa9473ff0f1c42e4e30b4c267141,285,2,1,6,linux,BIC
dad7e270ba712ba1c99cd2d91018af6044447a06,0,0,1,1,linux,BFC
1d607bb3bd60f404d1ceb0d6ebceadf261068422,17,0,0,2,linux,BIC
84842911322fc6a02a03ab9e728a48c691fe3efd,17,11,4,1,linux,BFC
c631f20068369a8b901574df9c7bfc57ce13de75,21,0,0,1,linux,BIC
14a20428e2e02600195a71ad366c0caef97bf3d4,1,0,2,1,linux,BFC
a1d2eb51f0a33c28f5399a1610e66b3fbd24e884,0,4,6,1,linux,BFC
b96672dd840f2231c3e0804842d380c401739733,3,0,3,1,linux,BIC
b3e202fa0f9a20995eb8e1efbc0bf4a67616965e,0,2,0,1,linux,BFC
67482129cdabf7cede1301d2415ef4f0156d35cd,185,0,0,3,linux,BIC
562ed3f1f78a87746f128c313a5f92083ecb9408,15,1,104,5,linux,BIC
3ec3d7a3ff10692d4f8a2baa0ff18fe10a9b6ad4,29,0,0,2,linux,BIC
898b9eaeb3fe5eb1ac510f2c4775c8277206752c,86,1,4,1,linux,BIC
8210e344ccb798c672ab237b1a4f241bda08909b,4,0,4,1,linux,BFC
d1d24cb65ee3605cc348a16eb9fd833c60c07ff7,34,6,1,1,linux,BIC
593f555fbc6091bbaec8dd2a38b47ee643412e61,1,0,2,1,linux,BFC
451d24d1e5f40bad000fa9abe36ddb16fc9928cb,5,0,10,1,linux,BFC
bb6a777369449d15a4a890306d2f925cae720e1c,0,2,0,1,linux,BFC
c2fc338c87a31f557b57f5143602444ba3cf2c3e,337,0,1,5,linux,BIC
1b4ae7d925c6569fff27313b4d84171b11510893,1,1,0,1,linux,BFC
33d1c018179d0a30c39cc5f1682b77867282694b,0,0,1,1,linux,BFC
beb205dd67aaa4315dedf5c40b47c6e9dee5a469,0,0,1,1,linux,BFC
c228d294f2040c3a5f5965ff04d4947d0bf6e7da,27,0,3,1,linux,BFC
aeb67ae7d1a318c8456345b8012474be6a3ff74a,1,0,0,1,linux,BFC
a58d37bce0d21cf7fbd589384c619e465ef2f927,3,4,8,1,linux,BFC
8850cb663b5cda04d33f9cfbc38889d73d3c8e24,0,4,8,2,linux,BIC
eb53f7af6f15285e2f6ada97285395343ce9f433,1,0,1,1,linux,BFC
e464121f2d40eabc7d11823fb26db807ce945df4,1,0,0,1,linux,BFC
7e1e77636e36075ebf118298855268468f1028e8,1010,0,0,2,linux,BIC
79fa64eb2ee8ccb4bcad7f54caa2699730b10b22,0,0,1,1,linux,BFC
0ef1efd1354d732d040f29b2005420f83fcdd8f4,10,0,0,2,linux,BIC
110f9e687c1a8490383612817ac03f4b29861da1,50,0,11,1,linux,BIC
6423d6df1440a8acfc2f375d7cbc4cd66c2e6910,9,0,10,1,linux,BIC
2af7c653993199fb32dc6d9504064a0c9c57e5d6,112,0,8,1,linux,BIC
aaac3ba95e4c8b496d22f68bd1bc01cfbf525eca,70,0,2,5,linux,BIC
f573c0b9c4e02691cf87736bd0824fd37ec02e65,52,57,18,6,linux,BIC
428569e66fa7ef4a41fbea9fa80f559914a74667,281,0,41,2,linux,BIC
4a71df50047f0db65ea09b1be155852e81a45eba,13473,0,0,11,linux,BIC
dacb5d8875cc6cd3a553363b4d6f06760fcbe70c,3,0,5,1,linux,BFC
fed23c5829ecab4ddc712d7b0046e59610ca3ba4,0,0,1,1,linux,BFC
d1306eb675ad7a9a760b6b8e8e189824b8db89e7,0,0,2,1,linux,BFC
3bf7b5d6d017c27e0d3b160aafb35a8e7cfeda1f,0,0,1,1,linux,BFC
3645da0276ae9f6938ff29b13904b803ecb68424,51,25,51,1,linux,BIC
0d7a78643f6972214e99205b364e508f8ea9598e,986,1,12,6,linux,BIC
62a6ef6a996f5eec73d30d079573a1fa8f95fcd9,34,0,0,2,linux,BIC
31383c6865a578834dd953d9dbc88e6b19fe3997,11,0,3,3,linux,BIC
1f121b03d058dd07199d8924373d3c52a207f63b,57,0,11,4,linux,BIC
221a1f4ac12d2ab46246c160b2e00d1b1160d5d9,2,0,2,1,linux,BFC
cf24aac38698bfa1d021afd3883df3c4c65143a4,13,3,6,1,linux,BFC
e92e50e4263f5cf9c731ef5593c31f94dc3b7b8c,0,7,1,1,linux,BFC
