commit_id,lines_added,lines_removed,lines_modified,files_changed,project,commit_role
9bdd10d57a8807dba0003af0325191f3cec0f11c,0,0,2,1,linux,BFC
8090bfd2bb9abc6293f5cedef8ec9be84a913d2f,4,2,6,1,linux,BIC
d22f9a6c92de96304c81792942ae7c306f08ac77,3,0,2,1,linux,BFC
29523c5e6716521f6e2fb59d7785e2bc0b1a993a,2,0,0,1,linux,BFC
d6473f566417a507b9ea5b0fc44ff26d930d0e5d,80,0,1,4,linux,BIC
3d725965f836a7acbd1674e33644bec18373de53,184,0,15,2,linux,BIC
10905d70d78841a6fa191be5ec193e3c0d63555f,843,0,4,4,linux,BIC
81f1ba586e393ad43350bded96d1ec3c48674b00,3,0,17,1,linux,BFC
53778b8292b5492ec3ecf1efb84163eac2a6e422,619,0,0,1,linux,BIC
35b513a74eabf09bd718e04fd9e62b09c022807f,4,0,0,1,linux,BFC
bb5ce9a017b851190300bf01b73eb96fc528b6c4,0,0,1,1,linux,BFC
7c3977d1e80401b1a25efded698b05d60ee26e31,0,0,1,1,linux,BFC
1d062b7b6f6408fd43f447f90338cfade4168170,941,0,0,10,linux,BIC
7999d2555c9f879d006ea8469d74db9cdb038af0,8,1,0,1,linux,BFC
879626e3a52630316d817cbda7cec9a5446d1d82,6,0,0,1,linux,BFC
79e8a32d2aa9e98b1560cbe107e750f07807d8c7,231,0,0,1,linux,BIC
24c3d2f342edbc10fee9f8ab9e0a033393686543,16,0,1,1,linux,BIC
aebe55c2d4b998741c0847ace1b4af47d73c763b,2,0,1,1,linux,BFC
5c5f26090840951b4102d9a1e6db9aac41101e5a,0,1,8,1,linux,BFC
50398fde997f6be8faebdb5f38e9c9c467370f51,0,0,1,1,linux,BFC
f41f2ed43ca5258d70d53290d1951a21621f95c8,464,5,8,6,linux,BIC
52994c256df36fda9a715697431cba9daecb6b11,1,0,1,1,linux,BFC
fb166ba1d7f0a662f7332f4ff660a0d6f4d76915,0,0,1,1,linux,BFC
ecda9cda3338b594a1b82d62018c247132a39e57,2,0,0,1,linux,BFC
7b9ebe428266fb7e0a6d769bb3ff3fcb6044b15e,0,0,1,1,linux,BFC
08edb9683e47f5183aed9aa3f926292b54c278c1,11,0,1,2,linux,BFC
74639cbf51d7c0304342544a83dfda354a6bd208,0,1,0,1,linux,BFC
d42b0965b1d4fe0808a2103a3f7c015515b1112e,183,0,2,1,linux,BIC
5422b37c907e7c00a15d5298d6717c6f7ba1403f,3,20,5,3,linux,BIC
c9be1a642a7b9ec021e3f32e084dc781b3e5216d,1,0,1,1,linux,BFC
a9f8553e935f26cb5447f67e280946b0923cd2dc,11,0,0,1,linux,BFC
88a19814de71aafe4de4868e1e13cd8b9a06a861,0,0,1,1,linux,BFC
a161ffe4b877721d8917e18e70461d255a090f19,0,0,1,1,linux,BFC
0c1d77f4ba5cc9c05a29adca3d6466cdf4969b70,1,1,1,1,linux,BFC
f437bc1ec731d3c8e45daecec7d89fc82bb76d12,27,0,13,4,linux,BIC
a110f3750bf8b93764f13bd1402c7cba03d15d61,0,0,2,1,linux,BFC
f4eb1f3fe94683cd7bdbb355d913bacf7e5d205f,78,0,26,5,linux,BIC
0ee7828dfc56e97d71e51e6374dc7b4eb2b6e081,6,5,0,1,linux,BFC
d6e36668598154820177bfd78c1621d8e6c580a2,0,39,0,3,linux,BFC
218d61110f69632974034b6e27686ce482a1c455,7,0,2,1,linux,BFC
69d846126e1653ca9043c3766c66684132586941,0,0,0,1,linux,BFC
58ecf131e74620305175a7aa103f81350bb37570,4,4,8,1,linux,BFC
61d0e73e0a5ab5fc80f6cd9d54f5146e33288a8d,0,0,4,1,linux,BIC
f3b7e73b2c6619884351a3a0a7468642f852b8a2,0,1,18,1,linux,BFC
4a7aa4fecbbf94b5c6fae8acccc983d919992bde,1,0,2,2,linux,BFC
006fa2599bf0daf107cbb7a8a99fcfb9a998a169,1,4,2,1,linux,BFC
1b388e7765f2eaa137cf5d92b47ef5925ad83ced,4,11,25,1,linux,BIC
866de407444398bc8140ea70de1dba5f91cc34ac,7,1,4,3,linux,BFC
ef441dd6af91e1f4265e890021ac3ad631b2b10e,4,0,2,2,linux,BIC
58b6259d820d63c2adf1c7541b54cce5a2ae6073,0,0,1,1,linux,BFC
604a8f6f1e33ed53529a117baec92d28e746a601,6,1,4,1,linux,BIC
fe3d7a35497c807d0dad0642afd87d6ba5b6fc86,0,0,1,1,linux,BFC
114e2ccd9eff5859760cfa3bcbb707c3eda63fc3,1,7,3,1,linux,BFC
edb899841c4e4c52cd78257029929bd9c6ab011d,3,0,1,1,linux,BFC
f45f979dc208c96bb13a229381be2c1e4bf3afb3,4,0,0,1,linux,BIC
6c0afef5fb0c27758f4d52b2210c61b6bd8b4470,6,0,6,1,linux,BFC
a4abd7a80addb4a9547f7dfc7812566b60ec505c,6,0,1,3,linux,BFC
dea39aca1d7aef1e2b95b07edeacf04cc8863a2e,3,0,1,1,linux,BFC
09a54f0ebfe263bc27c90bbd80187b9a93283887,0,0,1,1,linux,BFC
71b7786ea478f3c4611deff4d2b9676b0c17c56b,2,0,0,1,linux,BFC
7d6763ab77b3c047cf7d31ca7c4b799808a684a6,0,2,0,1,linux,BFC
795bc112cd5a40e7612313f54ee527198b1e734f,9,0,3,2,linux,BIC
a2151490cc6c57b368d7974ffd447a8b36ade639,9,12,1,3,linux,BFC
8f4347081be32e67b0873827e0138ab0fdaaf450,14,5,19,5,linux,BFC
aac17948a7ce01fb60b9ee6cf902967a47b3ce26,6,0,4,1,linux,BFC
533059281ee594f9fbb9e58042aaec77083ef251,408,595,83,5,linux,BIC
e936619b7ce784c808a8e2524f712a89ef245920,68,8,5,1,linux,BIC
087bfbb032691262f2f7d52b910652450c5554b8,1082,0,0,2,linux,BIC
55954f3bfdacc5908515b0c306cea23e77fab740,285,204,12,3,linux,BIC
479f7a1181058689435baddc16a6a42e1a8ff0e8,55,0,1,1,linux,BIC
