commit_id,repo_url,project,label_type,commit_role,language,dataset_source,cve_id,cwe_id
dee95f4fb45cf98b2d15d43fc90391c6ca3b7f3a,https://github.com/the-tcpdump-group/tcpdump,tcpdump,vulnerability,VIC,C,ICVul,CVE-2017-13033,CWE-125
d2dbd0ef1bf0594984a715eeeb72598ca14a82d8,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VIC,C,ICVul,CVE-2021-37683,CWE-369
cf01fb9985e8deb25ccf0ea54d916b8871ae0e62,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2017-7616,CWE-388
bb91bf83f9fc60cbd6cb30e6b2a7858efe1aa4c5,https://github.com/php/php-src,php-src,vulnerability,VIC,C,ICVul,CVE-2017-5340,CWE-190
466d84d2896336390e8dc1efeaaf5e385697b386,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VIC,C,ICVul,CVE-2023-25669,CWE-697
e79d9bc7ea76e08fc24d7adaad8b6a821d1624c3,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2012-3552,CWE-362
54cdc146bbe50018526770be201b56643ad58ba7,https://github.com/ImageMagick/ImageMagick,ImageMagick,vulnerability,VIC,C,ICVul,CVE-2023-3745,CWE-787
15c45f7b2e81655f6eb500ec949c8bd70a04325a,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2013-0310,CWE-119
00e8f205475332d7842d0f0d1481eeab4e83017c,https://github.com/radare/radare2,radare2,vulnerability,VFC,C,ICVul,CVE-2017-9761,CWE-119
3c08fdae712e79cc7a678a2969c2ac15c5ff8865,https://github.com/redis/redis,redis,vulnerability,VIC,C,ICVul,CVE-2021-32627,CWE-190
3a37efd7ece979e9c63dc8f2f2d3816bab8b1156,https://github.com/ImageMagick/ImageMagick,ImageMagick,vulnerability,VIC,C,ICVul,CVE-2016-7532,CWE-125
d8433c72558ce7772da4e18a9bc9b4cc016b4eb7,https://github.com/OISF/suricata,suricata,vulnerability,VIC,C,ICVul,CVE-2019-18625,NVD-CWE-noinfo
1e2bd517c108816220f262d7954b697af03b5f9c,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2013-4563,CWE-189
6921ed9049bc7457f66c1596c5b78aec0dae4a9d,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2023-1998,CWE-203
cae13fe4cc3f24820ffb990c09110626837e85d4,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2011-2182,CWE-119
1c109fabbd51863475cd12ac206bdd249aee35af,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2016-9178,CWE-200
3e29c1095a091f606a26c04a6542061c9e5f1d6b,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2013-2546,CWE-310
00eba012d53e63f620455f7013917e4bf59424f2,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2016-9588,CWE-388
1ee7b53a1c68ccb4fa7122204b17c03721cc7e79,https://github.com/squid-cache/squid,squid,vulnerability,VIC,C,ICVul,CVE-2023-46728,CWE-476
227e7db4b0d3d9ff8325b1f0f3a2ee1f91c8eb0c,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VIC,C,ICVul,CVE-2021-29531,CWE-754
0b314a0fc81559198724a94a56740b6923a499c8,https://github.com/the-tcpdump-group/tcpdump,tcpdump,vulnerability,VIC,C,ICVul,CVE-2017-13030,CWE-125
d5f5bcd425b771c0b7ff5a650b2ce061ac8bbb87,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2017-18360,CWE-369
15576b6a58a24ed2705d6228d0fde8cfcef26cae,https://github.com/squid-cache/squid,squid,vulnerability,VIC,C,ICVul,CVE-2023-46728,CWE-476
b7550787fe8b5beffb5f56fa11a87712d699d085,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2016-6136,CWE-362
b556f8ad58c6e9f8f485c8cef7546e3fc82c382a,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2016-6136,CWE-362
19651f3db63fa1511ed83a348c4c82fa553f8d01,https://github.com/ImageMagick/ImageMagick,ImageMagick,vulnerability,VFC,C,ICVul,CVE-2019-13308,CWE-787
c283962960d724d8bf52eaa2089781dea80c4d9d,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VIC,C,ICVul,CVE-2020-15211,CWE-125
a1616a5ac99ede5d605047a9012481ce7ff18b16,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2019-11884,NVD-CWE-noinfo
40adbe4dd15b582b0210dfbf40c243a62f5119fa,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VFC,C,ICVul,CVE-2022-35982,NVD-CWE-noinfo
d049f74f2dbe71354d43d393ac3a188947811348,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2013-2929,CWE-264
f6359593f9c877fcf81cbe0a1842ede8a77e4dbd,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VIC,C,ICVul,CVE-2021-41226,CWE-125
06f748c4754de4fe2fc8d517acf29cb46a0b2d60,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2022-33981,CWE-416
8b667b7d4bf1b845ce2ccffad9221490afa583ce,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VIC,C,ICVul,CVE-2021-29578,CWE-787
876d9484edf77d228adb42aecd4debd58d7739d6,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2017-1000251,CWE-787
87129cc0e3fcd89a1db3e99d62dc710e05749f77,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2015-4177,NVD-CWE-Other
d114b9fe78c8d6fc6e70808c2092aa307c36dc8e,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2015-4002,CWE-119
83ed75feba32e46f736fcce0d96a0445f29b96c2,https://github.com/krb5/krb5,krb5,vulnerability,VFC,C,ICVul,CVE-2015-8631,CWE-772
b69f2292063d2caf37ca9aec7d63ded203701bf3,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2012-0879,CWE-400
31c1c0b46a7021802c3d1d18039fca30dba5a14e,https://github.com/FFmpeg/FFmpeg,FFmpeg,vulnerability,VFC,C,ICVul,CVE-2017-9608,CWE-476
db8dac20d5199307dcfcf4e01dac4bda5edf9e89,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2012-3552,CWE-362
858119e159384308a5dde67776691a2ebf70df0f,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2015-1805,CWE-17
1fd4f2a5ed8f80cf6e23d2bdf78554f6a1ac7997,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2013-1798,CWE-20
0cdfa9e6f0915e3d243e2393bfa8a22e12d553b0,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2022-47518,CWE-787
2e07e8348ea454615e268222ae3fc240421be768,https://github.com/torvalds/linux,linux,vulnerability,VFC,C,ICVul,CVE-2023-51779,CWE-416
dff11411ccacacd167e7589f7a7840ef80712b60,https://github.com/radare/radare2,radare2,vulnerability,VIC,C,ICVul,CVE-2017-9520,CWE-416
40efc6fa179f440a008333ea98f701bc35a1f97f,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2012-3552,CWE-362
239139d2ae6a81ae9ba499ad78b56d9b2931538a,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VFC,C,ICVul,CVE-2023-25663,CWE-476
7bc848045e9b87774bb34e55c0cc0b5927ac43eb,https://github.com/tensorflow/tensorflow,tensorflow,vulnerability,VIC,C,ICVul,CVE-2022-41884,CWE-670
f411fe7d75197852f0e5ee85027a06d58dd8df4c,https://github.com/squid-cache/squid,squid,vulnerability,VFC,C,ICVul,CVE-2024-37894,CWE-787
ffde45acf3348f8353fb4064a1b21683ee6b5ddf,https://github.com/the-tcpdump-group/tcpdump,tcpdump,vulnerability,VFC,C,ICVul,CVE-2017-12994,CWE-125
16b3003ffc6393e250f069aa28a78dc5a2c064b2,https://github.com/php/php-src,php-src,vulnerability,VIC,C,ICVul,CVE-2017-12932,CWE-416
4661492e5a617199457c8074bad22f766a116cdc,https://github.com/FreeRDP/FreeRDP,FreeRDP,vulnerability,VFC,C,ICVul,CVE-2022-24883,CWE-287
cba1ad284dd8a1dc636df4eda32266e4124c9d58,https://github.com/krb5/krb5,krb5,vulnerability,VIC,C,ICVul,CVE-2015-8630,NVD-CWE-Other
26e49cfc7e988a76bf1e55cef0d9e438e5489180,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2015-5707,CWE-190
47a8643e71d8962bc83886608e55f43a06d8da95,https://github.com/php/php-src,php-src,vulnerability,VIC,C,ICVul,CVE-2014-3597,CWE-119
13796bf9edc9d2008cfaa3ebea89312ced0d44a9,https://github.com/torvalds/linux,linux,vulnerability,VIC,C,ICVul,CVE-2011-1023,NVD-CWE-Other
