commit_id,repo_url,project,label_type,commit_role,language,dataset_source
8cf6848f4d4d4917a4551c9aa49dc00f699eb569,https://github.com/hawtio/hawtio,hawtio,vulnerability,VFC,java,TOSEM
fb3c03549e0c06dedef5eb97e8a1965369689fe1,https://github.com/hawtio/hawtio,hawtio,vulnerability,VIC,java,TOSEM
a34f55fc97a81966faf21e3ae404ec24f1f31cf7,https://github.com/cloudfoundry/uaa,uaa,vulnerability,VFC,java,TOSEM
bb8ff8f4e8969b46fdacffcd27781d223c8c7244,https://github.com/cloudfoundry/uaa,uaa,vulnerability,VIC,java,TOSEM
29fd1107fd30579ad9bb23fae4dc3ba464205745,https://github.com/weld/core.git,core,vulnerability,VFC,java,TOSEM
6808b11cd6d97c71a2eed754ed4f955acd789086,https://github.com/weld/core.git,core,vulnerability,VFC,java,TOSEM
8e413202fa1af08c09c580f444e4fd16874f9c65,https://github.com/weld/core.git,core,vulnerability,VFC,java,TOSEM
c3179e839d2f031efac7545bfd259fa31a3bcdcb,https://github.com/weld/core.git,core,vulnerability,VIC,java,TOSEM
4a4dc99c7b259646ee5e23b7aaa7c3a8bac959c1,https://github.com/wso2/transport-http,transport-http,vulnerability,VFC,java,TOSEM
f57401801f2ec31e4beefa2f81adfe431e5398e3,https://github.com/wso2/transport-http,transport-http,vulnerability,VIC,java,TOSEM
09147ffad2b3046ed21af0f524c5088e2ac551e,https://github.com/apache/struts,struts,vulnerability,VFC,java,TOSEM
bd3f2f59c9b09f70aed3ebab6bb69b464ee2d6c,https://github.com/apache/struts,struts,vulnerability,VFC,java,TOSEM
dae026a0f0511f83852053bae9d5a622e7f8048,https://github.com/apache/struts,struts,vulnerability,VFC,java,TOSEM
dbc620f84ffb626c6e6738afe0578d617a2b3d3,https://github.com/apache/struts,struts,vulnerability,VFC,java,TOSEM
93866341ec5396d07b5829be55110ff09dc81bc,https://github.com/apache/struts,struts,vulnerability,VFC,java,TOSEM
c01d3a92db7f71f751a0522912d24bcf4a94a1b0,https://github.com/apache/struts,struts,vulnerability,VIC,java,TOSEM
18e86b6f8bea7326934109aa9ffa705ebf4bde90,https://github.com/rweather/noise-java,noise-java,vulnerability,VFC,java,TOSEM
0d93e22b4180cd1fa889d543c548b8b0264f8cdf,https://github.com/rweather/noise-java,noise-java,vulnerability,VIC,java,TOSEM
942e09b71eef5bd9fdb1c8711125c4bc1193bcdc,https://gitbox.apache.org/repos/asf/hbase.git,hbase,vulnerability,VFC,java,TOSEM
948d0cdec4fb35d70404b9b6e27743616400656d,https://gitbox.apache.org/repos/asf/hbase.git,hbase,vulnerability,VIC,java,TOSEM
7576274874deeccb6da6b09a8d5bd62e8b5538b7,https://github.com/spring-projects/spring-framework.git,spring-framework,vulnerability,VFC,java,TOSEM
ed3823b045fd19cdb801609eb034c93dd4d75c3f,https://github.com/spring-projects/spring-framework.git,spring-framework,vulnerability,VIC,java,TOSEM
e19a20,https://github.com/apache/tomcat,tomcat,vulnerability,VFC,java,TOSEM
1ecba1,https://github.com/apache/tomcat,tomcat,vulnerability,VFC,java,TOSEM
ab72a1,https://github.com/apache/tomcat,tomcat,vulnerability,VFC,java,TOSEM
a84fabcbc6fee8a69253ad92a304b4718e96a7c9,https://github.com/apache/tomcat,tomcat,vulnerability,VIC,java,TOSEM
930a1c81f8ea4952df540f041befbfa2d6757838,https://github.com/itext/itext7,itext7,vulnerability,VFC,java,TOSEM
050687b386acfc1c27d3826d0a9936a3f042b09e,https://github.com/itext/itext7,itext7,vulnerability,VIC,java,TOSEM
a0bbf1e7da158ae191582f032343c6171e6a0b44,https://github.com/eclipse/paho.mqtt.java,paho.mqtt.java,vulnerability,VFC,java,TOSEM
176f6fc0b83eefc4e196370e9d12775c99b711ea,https://github.com/eclipse/paho.mqtt.java,paho.mqtt.java,vulnerability,VIC,java,TOSEM
311baf12252abf21947afd07bf0a0291ec3ec796,https://github.com/vt-middleware/cryptacular,cryptacular,vulnerability,VFC,java,TOSEM
42ec5f97f6af3f8c91822fcc0da1f19bc9b5b9b1,https://github.com/vt-middleware/cryptacular,cryptacular,vulnerability,VIC,java,TOSEM
b597f7a865a527a84ee3d6937075cfbb4470ed20,https://github.com/line/armeria,armeria,vulnerability,VFC,java,TOSEM
8a003bf4984c233b33e0e8b686c68deb2164c0b3,https://github.com/line/armeria,armeria,vulnerability,VIC,java,TOSEM
58cdbbef9c77ab2b44870f9d606593b49cde76d9,https://git-wip-us.apache.org/repos/asf/tomee.git,tomee,vulnerability,VFC,java,TOSEM
86267a2346e3517482282a38e8bc7d167c039963,https://git-wip-us.apache.org/repos/asf/tomee.git,tomee,vulnerability,VIC,java,TOSEM
157febfdebfd63708233b492f3271ceb1bd1eafc,https://github.com/cloudfoundry/uaa,uaa,vulnerability,VFC,java,TOSEM
cd942abfb08004766db8b9f553774fc1c08b69d5,https://github.com/cloudfoundry/uaa,uaa,vulnerability,VIC,java,TOSEM
e5647554e6801a522c508a8eb457979a9af8c398,https://git-wip-us.apache.org/repos/asf/activemq-apollo.git,activemq-apollo,vulnerability,VFC,java,TOSEM
