commit_id,lines_added,lines_removed,lines_changed,Dataset,Type
8cf6848f4d4d4917a4551c9aa49dc00f699eb569,881,44,925,Java Vuln (Manual),VFC
fb3c03549e0c06dedef5eb97e8a1965369689fe1,474,44,518,Java Vuln (Manual),VIC
a34f55fc97a81966faf21e3ae404ec24f1f31cf7,68,17,85,Java Vuln (Manual),VFC
bb8ff8f4e8969b46fdacffcd27781d223c8c7244,320,7,327,Java Vuln (Manual),VIC
29fd1107fd30579ad9bb23fae4dc3ba464205745,168,0,168,Java Vuln (Manual),VFC
6808b11cd6d97c71a2eed754ed4f955acd789086,3,1,4,Java Vuln (Manual),VFC
8e413202fa1af08c09c580f444e4fd16874f9c65,61,37,98,Java Vuln (Manual),VFC
c3179e839d2f031efac7545bfd259fa31a3bcdcb,398,63,461,Java Vuln (Manual),VIC
4a4dc99c7b259646ee5e23b7aaa7c3a8bac959c1,3,3,6,Java Vuln (Manual),VFC
f57401801f2ec31e4beefa2f81adfe431e5398e3,2332,0,2332,Java Vuln (Manual),VIC
09147ffad2b3046ed21af0f524c5088e2ac551e,7,3,10,Java Vuln (Manual),VFC
bd3f2f59c9b09f70aed3ebab6bb69b464ee2d6c,2,3,5,Java Vuln (Manual),VFC
dae026a0f0511f83852053bae9d5a622e7f8048,35,2,37,Java Vuln (Manual),VFC
dbc620f84ffb626c6e6738afe0578d617a2b3d3,6,2,8,Java Vuln (Manual),VFC
93866341ec5396d07b5829be55110ff09dc81bc,33,1,34,Java Vuln (Manual),VFC
c01d3a92db7f71f751a0522912d24bcf4a94a1b0,333578,0,333578,Java Vuln (Manual),VIC
18e86b6f8bea7326934109aa9ffa705ebf4bde90,35,30,65,Java Vuln (Manual),VFC
0d93e22b4180cd1fa889d543c548b8b0264f8cdf,275,6,281,Java Vuln (Manual),VIC
942e09b71eef5bd9fdb1c8711125c4bc1193bcdc,479,15,494,Java Vuln (Manual),VFC
948d0cdec4fb35d70404b9b6e27743616400656d,8698,0,8698,Java Vuln (Manual),VIC
7576274874deeccb6da6b09a8d5bd62e8b5538b7,3,1,4,Java Vuln (Manual),VFC
ed3823b045fd19cdb801609eb034c93dd4d75c3f,1213,99,1312,Java Vuln (Manual),VIC
e19a20,15,26,41,Java Vuln (Manual),VFC
1ecba1,15,26,41,Java Vuln (Manual),VFC
ab72a1,15,26,41,Java Vuln (Manual),VFC
a84fabcbc6fee8a69253ad92a304b4718e96a7c9,264772,0,264772,Java Vuln (Manual),VIC
930a1c81f8ea4952df540f041befbfa2d6757838,34,5,39,Java Vuln (Manual),VFC
050687b386acfc1c27d3826d0a9936a3f042b09e,1730,61,1791,Java Vuln (Manual),VIC
a0bbf1e7da158ae191582f032343c6171e6a0b44,12,2,14,Java Vuln (Manual),VFC
176f6fc0b83eefc4e196370e9d12775c99b711ea,38,0,38,Java Vuln (Manual),VIC
311baf12252abf21947afd07bf0a0291ec3ec796,708,74,782,Java Vuln (Manual),VFC
42ec5f97f6af3f8c91822fcc0da1f19bc9b5b9b1,387,0,387,Java Vuln (Manual),VIC
b597f7a865a527a84ee3d6937075cfbb4470ed20,395,84,479,Java Vuln (Manual),VFC
8a003bf4984c233b33e0e8b686c68deb2164c0b3,213,167,380,Java Vuln (Manual),VIC
58cdbbef9c77ab2b44870f9d606593b49cde76d9,41,3,44,Java Vuln (Manual),VFC
86267a2346e3517482282a38e8bc7d167c039963,116,155,271,Java Vuln (Manual),VIC
157febfdebfd63708233b492f3271ceb1bd1eafc,59,7,66,Java Vuln (Manual),VFC
cd942abfb08004766db8b9f553774fc1c08b69d5,49,25,74,Java Vuln (Manual),VIC
e5647554e6801a522c508a8eb457979a9af8c398,41,1,42,Java Vuln (Manual),VFC
588c6b5e9e6beb8e5b35584051f942473648c66d,3035,1267,4302,Java Vuln (Manual),VIC
6a79d35d6654d895d0a4b73b3a9282ec9aaeeb06,48,1,49,Java Vuln (Manual),VFC
c659a6007b258f3e2afc57cf2b4c4c5eb03fce74,1725,69,1794,Java Vuln (Manual),VIC
49a3f0a11d41f7124b893a08dc9e67594c32e2e,102,42,144,Java Vuln (Manual),VFC
b52bf267c7aa528b282d09c637344650f903495,96,32,128,Java Vuln (Manual),VFC
49a3f0a11d41f7124b893a08dc9e67594c32e2ee,102,42,144,Java Vuln (Manual),VIC
74e26830d2849a84729b33497f729e0f033dc147,7,3,10,Java Vuln (Manual),VFC
bfbc4c04e007393986f374a02dfb7ded23bc9a05,106,101,207,Java Vuln (Manual),VIC
134686ef7185d3f96fec953136ab4847cd36b68,0,31,31,Java Vuln (Manual),VFC
db12a50a32cd779e4f36f52dc2374692477bf94d,2689,497,3186,Java Vuln (Manual),VIC
a8ce4435e3ffe9985116999f8dfae1b883548acf,4,149,153,Java Vuln (Manual),VFC
a8ce4435e3ffe9985116999f8dfae1b883548acf,4,149,153,Java Vuln (Manual),VIC
e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f,192,89,281,Java Vuln (Manual),VFC
528b82634f528468970eaa655c0085b1c9592b71,1373,30,1403,Java Vuln (Manual),VIC
9730cd6a3bbb481ee4e400b51952b537589c469d,425,21,446,Java Vuln (Manual),VFC
7c0eaea07e8b91c21f8c188545db1b4e653c6cd8,56,2,58,Java Vuln (Manual),VIC
44e4fbf1d0f6db295df34601972741d4cf706cbd,106,77,183,Java Vuln (Manual),VFC
1c9dcb152130b0b8de59f9df4256fa349c695f25,535,302,837,Java Vuln (Manual),VIC
2d399aa6062fccd6af496bd776314d1944f7090,169,3,172,Java Vuln (Manual),VFC
53185f0b221b899aacb3c379647a866a8f408a8,0,1,1,Java Vuln (Manual),VFC
5e1d70c6957703cdebbfe5d796462e5a89c8bc2,169,3,172,Java Vuln (Manual),VFC
f337a98e86ef18611b14570e6780053fe3ddcc0,0,1,1,Java Vuln (Manual),VFC
68f2de31b7752bd49b7898d7098b3bfe8e0d0bd,0,1,1,Java Vuln (Manual),VFC
a8a2b8c0a37e348981a4cf41fd2b329b6079f40,179,8,187,Java Vuln (Manual),VFC
05ff65d5cebf1fa5172c59dd16359ed583c099c,0,1,1,Java Vuln (Manual),VFC
5b64969d37cf2906efd4623cfd473041ce5132f,187,12,199,Java Vuln (Manual),VFC
15a1f10fb532bdcba184cda17be602a2358bd5e,0,1,1,Java Vuln (Manual),VFC
e030f6665db037a2f73f30b9125fb770f29a7bd,179,8,187,Java Vuln (Manual),VFC
f7db8aa81be1e0339a41de1ead9276174bcbe9a5,158,15,173,Java Vuln (Manual),VIC
b091934f9e98568b848d0584a1145c8e514cbd21,293,10,303,Java Vuln (Manual),VFC
7bf019a9c2779368133850f141174febede6ad96,2255,218,2473,Java Vuln (Manual),VIC
a519819c9a3a9beed3721b043711bb1eb5c07897,46,4,50,Java Vuln (Manual),VFC
7f9e44c0ee709f80badb39bb32c1de386a05f837,68623,6,68629,Java Vuln (Manual),VIC
a8018783373ff5e5210225069c9919e071597d5e,179,46,225,Java Vuln (Manual),VFC
d2f053733eabf5c1587a9e5e9fb642d554fb5fed,2324,474,2798,Java Vuln (Manual),VIC
c9cd1e521673ef0cccb8795b78d3cbaefb8a576a,58,3,61,Java Vuln (Manual),VFC
74da47c604b38afe5c8754d30bf1fc39a58b1bdc,87,25,112,Java Vuln (Manual),VIC
6d7d192e4799b51931e55217e02baec14d49607,41,0,41,Java Vuln (Manual),VFC
cedc28d4ab2a27ba47e15ab2711218d96ec88d2,47,9,56,Java Vuln (Manual),VFC
745f203e577bacb35b042206db94615141fa5e6,51,7,58,Java Vuln (Manual),VFC
e3236a9680709de7a95ffbc11b20e1bdc95a860,52,0,52,Java Vuln (Manual),VFC
11a425d11a329010d0ff8255ecbcd1eb51b642e,55,1,56,Java Vuln (Manual),VFC
fc4c20fc3469674cb584a4fb98bac7e3c2277c9,51,7,58,Java Vuln (Manual),VFC
12258c7cff8d32710fbd8b9088a930e3ce27432,47,9,56,Java Vuln (Manual),VFC
1373e3d8ad60e4da721a292912cb69243bfdf47,47,9,56,Java Vuln (Manual),VFC
6a4ae6f6eeed1392a4828a5721fa1499f65bdde,41,0,41,Java Vuln (Manual),VFC
45a1c680c276c4501402f7bc4cebcf85a6fbc7f,49,10,59,Java Vuln (Manual),VFC
eaa2b8035b584dfcf7c79a33484eb2dffd3fdb1,43,1,44,Java Vuln (Manual),VFC
65e55097da2bb3f2fbdf9ba1946da25fe58bec9,41,0,41,Java Vuln (Manual),VFC
