cve_id,cwe_id,repo_url,fc_hash,vcc_hash
CVE-1999-0731,NVD-CWE-Other,https://github.com/KDE/kde1-kdebase,04906bd5de2f220bf100b605dad37b4a1d9a91a6,[]
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,60de4fbbdf3ede49f158e23a9e3b679f2e519c1e,"['f66e5d686343c0e3a5880671008826445c75e301', '4062c774a86a3edba2668db580ee4200958bcd42', '999273735d62a7f98c5db73815d20d902e697a04', '891f831266d5e0798468a33fff9aeb94d5eb6bf7', 'f84ce9cfa35e213aa2ba215fd0d6b8df0373de2b']"
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,771b3d8749b34b6eea4e03a2e514380da9582f90,"['269caabe34866d25f468b3e1905d3223d93dd906', 'f66e5d686343c0e3a5880671008826445c75e301', 'f21383e387684b18bc4680a1f610fd1d7c765e90', 'f84ce9cfa35e213aa2ba215fd0d6b8df0373de2b', '4bf272ae364d99dc7ca3523e6583b1ab3d4081b5']"
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,a8b180875b037b8da26f6a3bcc8e5e98b8c904d2,"['269caabe34866d25f468b3e1905d3223d93dd906', 'f66e5d686343c0e3a5880671008826445c75e301', '651a1711f523577e27c93e0d295177f1f2033e95', 'f7c1815a354edfa395b676fe240e3a8bd573739a', 'f84ce9cfa35e213aa2ba215fd0d6b8df0373de2b']"
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,1fe14f38dd43dc894d21f85762b51208ba5c8acb,[]
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,0670e43c30135044e25cca7f80e1833e2c128653,[]
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,20ac3662f137dbf7f42d5295590069a7d3b1166b,[]
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,e0ef9bd22810c6969a7f222eec04798f19a7e2d6,[]
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,fe8b7f31db687f8b9992864b82c93d22833019c7,[]
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,10da3dab24e8ca08cf2c983f8d0206e383535b5a,[]
CVE-2008-1897,CWE-287,https://github.com/jcollie/asterisk,51714a24347dc57f9a208a4a8af84115ef407b83,[]
CVE-2009-1194,CWE-189,https://github.com/bratsche/pango,4de30e5500eaeb49f4bf0b7a07f718e149a2ed5e,"['1a00555cd87c8454301b65fe7939e277b7d67998', '64691f1398152413f91ebe6906806eb9eb8801b1', '282fb5fc9f9d01c4d933a6eb6bee6ae9f0d512c7']"
CVE-2009-3111,NVD-CWE-Other,https://github.com/alandekok/freeradius-server,860cad9e02ba344edb0038419e415fe05a9a01f4,[]
CVE-2010-0011,CWE-264,https://github.com/Dieterbe/uzbl,1958b52d41cba96956dc1995660de49525ed1047,['fedfe2c06b3e01d5dede2cbab395a0ab48bb94e9']
CVE-2010-1152,CWE-20,https://github.com/memcached/memcached,d9cd01ede97f4145af9781d448c62a3318952719,['75cc83685e103bc8ba380a57468c8f04413033f9']
CVE-2010-1155,CWE-20,https://github.com/ensc/irssi-proxy,85bbc05b21678e80423815d2ef1dfe26208491ab,['a90c4829f69c7b13d9130daedd4631534726ff74']
CVE-2010-2060,NVD-CWE-Other,https://github.com/kr/beanstalkd,2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d,"['2c25676e3e7229d5489f75a80fccf46b2e74323b', '437b75887d804f865a8d86824d0029068615a15a']"
CVE-2010-2809,CWE-94,https://github.com/Dieterbe/uzbl,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,['5aa9a876c8a0e6812a1ca2217227f99e24635f6e']
CVE-2010-2809,CWE-94,https://github.com/Dieterbe/uzbl,342f292c27973c9df5f631a38bd12f14a9c5cdc2,[]
CVE-2010-3696,CWE-399,https://github.com/alandekok/freeradius-server,4dc7800b866f889a1247685bbaa6dd4238a56279,['1f13fe573056232b30b22baac1fd484d0bac2d27']
CVE-2010-3697,CWE-399,https://github.com/alandekok/freeradius-server,ff94dd35673bba1476594299d31ce8293b8bd223,"['da3689b8e82093aa00646d52fce83da777a55d5c', 'eba544e21a79826d78cb99a3e534d2f38b1d17d8', 'af88247305bccba43070125cbac14e1130f31205', '697398ccb1c44eb9690abb5a795374e1173306ca', '9b0b843b80621a8138c2ecad60fec7207d6ab7b2', 'aac4de087f8ea9d24e02c87b54b2f6a770e49f87']"
CVE-2010-3872,CWE-189,https://github.com/apache/httpd-mod_fcgid,b1afa70840b4ab4e6fbc12ac8798b2f3ccc336b2,['46b3edee8ca2cd5de79067102575429430e5f094']
CVE-2011-0530,CWE-119,https://github.com/yoe/nbd,3ef52043861ab16352d49af89e048ba6339d6df8,['501f9a21ebe15178f996e86d2c8fcf23e7b63aea']
CVE-2011-2161,CWE-399,https://github.com/FFmpeg/FFmpeg,8312e3fc9041027a33c8bc667bb99740fdf41dd5,"['e356fc57a2e9887370caec58d8aafeafd1f336dc', 'bf4a1f17ee9237b6efd4250cf894e274afc31a5f']"
CVE-2011-1575,CWE-399,https://github.com/jedisct1/pure-ftpd,65c4d4ad331e94661de763e9b5304d28698999c4,"['279e5f2d6075e220c762595f40bf32786dbfe0f0', 'a35359a7b63aefeff1f526481417c766a605be45']"
CVE-2012-0807,CWE-119,https://github.com/stefanesser/suhosin,73b1968ee30f6d9d2dae497544b910e68e114bfa,['36dbfacbe64697d959f524e537b15b73c090d898']
